,comments
1719,"So we’re screwed. Just causally handed over a couple billion dollars worth of military equipment and technology to the taliban, who will distribute the tech to other enemy countries. We also just created another farm and hotbed for terrorist. We also left many Afghan allies left for nothing."
1720,"It isn't, nor could be a perfect ending situation.  I am hopeful for the Afghan people and for the region.  We have been there too long.  God bless the men and women who have served in the military and those in government positions and those Afghans who helped to serve the purpose of a better future for all."
1721,They started executing those you left right after the last American boot got on aircraft grade aluminum
1722,"If you listen at 1.25X he almost sounds like a leader. Of course, you have to cheat to attain that."
1723,Way USA made that type of Polishes.
1724,"Shame on you... Did Dominion crunch the numbers for you on this ""Victory""?"
1725,"In the passage of time, loves die, colors change colors, and only the sweet and bitter memories remain intact. Whoever does a good deed will not forget the history.😔🇦🇫💔"
1726,"I didn't know what to expect from him as a president and now I  know NOTHING, HE IS NOTHING
IF this is the best we can do for president  we are in big trouble (I not a trumper)"
1727,Sad excuse 4 a leader
1728,IMPEACHED
1729,Having that said... Can we have some... some...of our tax payer dollars back???
1730,That was a well and articulated speech. I wonder who wrote it...
1731,This comment section on a leftist page should tell you exactly how well of a job this potato is doing.
1732,What a shell of a fraud.
1733,"""EVACEATION"" will be a good song!"
1734,YOU BETTER PRAY TO GOD NOTHING HAPPENS ON 20TH ANNIVERSARY OF 9/11 BECAUSE I GOTTA FEELING THEY ARE PLANNING SOMETHING THAT MAKES THAT LOOK LIKE CHILD'S PLAY!
1735,"Biden has a great shift pattern…29 minutes on, 23 hours 31 minutes off."
1736,Please replace him..  just ugh
1737,They broke it ass. 13 dead.
1738,waaah mah failed war. I'll never get that middle eastern parking lot.
1739,"Sloppy Joe, can’t seem to get anything right"
1740,For the first time in my 65 years of life ashamed to be from America. Thank you to those who served thank you thank you thank you. I now call him mr biden
1741,"Can we have a president the entire world doesnt see as weak now? Maybe one with more intelligence than a potato, that would be nice."
1742,"🤪🤡💩no way can trust this, is very scary after what happened.
Let’s walk for impeachment 🇺🇸❤️"
1743,We owe them but you were pressed and checking your watch.
1744,Are enemies are laughing right now and our allies are doing a face palm.
1745,"They knew the Afghans could not fight on their own. He said it, but pulled our troops anyways."
1746,He looks different now.... kinda like if you drew a face and the smeared it a bit.
1747,the buck stops......with the last guy
1748,He ended the war?
1749,one of his best speeches ever
1750,So our main focus should've been focus on the war. But the general literally wasted time to talk about peoples pronouns
1751,Poor leadership and poor decisions. You took position to do better for this country. Do better.
1752,"$300M A DAY FOR TWO DECADES! 
Two. Trillion. Dollars.

Proceedes to spend $5T in six months."
1753,"You are a treat to Americans at the yr 2021 and beyond, u talk bout billions but u and ur Dems spend trillions smh"
1754,How many retakes did they do for this speech lol it’s definitely not his first take.. I mean where’s all the pauses and umms and ahhhs
1755,"I wrote the Dune series because I had this idea that charismatic leaders ought to come with a warning label on their forehead: ""May be dangerous to your health.""
- Frank Herbert"
1756,90% of Americans who wanted to leave were able to leave?! I DNT give a F wat numbers he puts out there I'm looking for 💯% of Americans who wanted to leave were able to! This dude is a joke!
1757,2.4K Americans that gave the thumbs up feel that what he has done is ok? Un-American and shameful.
1758,"Jihad Joe, an American Zero"
1759,I don't want to ruin the dislikes 6.9K neither give a like
1760,"I don't think having America's presence in a region is the same as fight war or, as he puts it, nation-building. Many years after ww2, there is still America's presence all over the globe. If peace is measured by the loss of lives of our finest military, then it is fair to say that we have had peace for years until a couple of days ago."
1761,"Damn, CNBC great editing skills. Biden starts talking at 2:16 for those wondering. Lol"
1762,He did not end the war. He abandoned allies and citizens in a still Terror ridden country and handed them the names and addresses of those Allies and Americans to the Terrorist.
1763,Useless leader..
1764,Joe Taliban Biden
1765,US marine who had sacrificed their lives in Afghan for 20 years has gone vain
1766,"What a weak, feable man. It's almost sad."
1767,Looking at his watch at Dover was the ultimate sign of disrespect to the fallen soldiers. Who is really running the Government behind the scenes?
1768,Go to bed Joe.
1769,what about the 24 collage kids no one has hurd anything about or from
1770,"Biden when things went south in Afghanistan: Now you all know this was Trump's plan, Trump's commitment. I had nothing to do with it 
Now that they are out and abandoned citizens, also Biden: I decided, I decided to leave Afghanistan. It was my decision. Give ME the credit. Trump had nothing to do with it. Except for the heads stuff, c'mon man."""
1771,I think he needs a diaper change 🤷‍♂️
1772,Walking human garbage and everyone is laughing at you LOL
1773,Disappointed. Thought he would take some responsibility. Banned.video
1774,"Some one miss inform you
You were not ready"
1775,“Sworn enemies of the Taliban” spoken as if the Taliban is our ally
1776,"We're NOT stupid...we pretty much know what the U.S. ""priorities"" should of been..."
1777,You were not ready! Liar
1778,He’s making the military seem like toys
1779,"wow, i thought trump was bad. this guy is the entire circus."
1780,"“The former president as you know was very incompetent and he signed a deal with the taliban, that’s why I’m ending it, I extended it so that ending it would be easier. It’s time to end this war. So I pulled out the troops just like a good boy... that’s what good boys do right?”"
1781,Please getting out the white house
1782,"Come to Myanmar and End the real terrorist, the whole country of people are with you"
1783,I’m ashamed of my country because of this president.
1784,OBiden is toast
1785,"""Oh dear, forgot my mask."""
1786,Hello ❤️👍
1787,"Trash. This man is straight up trash. Everybody says they feel sorry for him because he's being abused, but personally i don't feel bad whatsoever. He deserves any amount of pain that comes his way."
1788,Nothing ended. He just gave the Terrorist their own country and outfitted them with latest military equipment. Impeach this fool already.
1789,Pobre anciano!!
1790,I have never felt more ashamed of our countries leader own the fact that you *ucked up. No blame the last guy .. and ppl will believe it that's the sad part 🤦. I feel like we got no hope because of all the people who believe this guy and his agenda are good for us.
1791,Ratio’d🤣🤣🤣
1792,You have been defeated by Taliban
1793,Bad administration
1794,THIS ADMINISTRATION IS A JOKE AND EMBARRASSING…..
1795,Sleepy Joe after losing war in Afghanistan.
1796,Get out of office.
1797,8o MiLliOn VoTeS
1798,how getting more killed
1799,Ah ah ah ah my name is.               Joe.
1800,He’s like that one kid in the group project that blames 98% of the time👀
1801,success of a 20yr failure ??
1802,This operation was as great a success as was possible.  Good Job to the Military and to Biden.
1803,Get off the stage..look..what time is it??
1804,"No time for questions, straight into nap time."
1805,"You know Jimmy Carter is eating peanuts and having a ""billy Beer"" while laughing at this guy!"
1806,тётя
1807,"I rarely comment, but when I do, I mean it.  I support our commander in chief.  But this man told flagrant lies and sought to cast blame.  He is a coward.  Plain and simple."
1808,Is he hi 👋 😳 👀 🤔
1809,Vietnam 2
1810,Joe - the way you defended the airlift is like saying how good the rescue operation was of people from the Titanic.  I won’t be forgetting BTW.  To vote against you and those who support you.
1811,🤦🏼‍♂️
1812,I can't even speak. It's too ludicrous.
1813,"This man really said “we didn’t uphold the agreement because Trump made the agreement” , so instead he kept troops in Afghanistan knowing what that meant for our troops there. Lost 13 beautiful souls. Trash 🗑"
1814,"Lets not revert back to neocon jingoism just because our ""president"" is completely incomptent"
1815,The agreement from Trump was that the Taliban was to make no movement and take no city's until the US was gone. If they did the agreement was off and we were to stay.Biden keeps leaving that out. As always!
1816,"If Trump had to do this, he won't create such mess."
1817,"The outstanding wind commonly bounce because walk proximally applaud with a vulgar appeal. average, vengeful swamp"
1818,Hundreds of people died what an idiot
1819,"The speech writer gave him the wrong speech, ""He needed the one where he admitted he was a liar, a fool, a coward, and deserved to be turned over to the Taliban as a war criminal. I mean he places so much faith in their mercy for millions of others, let him live or die by that faith."
1820,When you need Democrat voter support….   bring up your dead son!     Works every time.
1821,Lies lies lies lies lies lies lies lies lies!
1822,Great Job Mr. President! Behind you 100%!!
1823,Mini brain
1824,9:45 ... lie
1825,I missed the part where he explains why he armed the terrorists
1826,LMAOOOO TRUMPIES MAD
1827,៤ហដយេេហ??!¿¿!!!!
1828,This is CGI
1829,Afghanistan fell harder than Biden on a staircase.
1830,"Yeah there’s a 3 year old American child over there, I’m sure he wants to come home!!! 🥲"
1831,He makes me sick! If we have him in office his whole presidential term we are screwed!
1832,Clown
1833,RESIGN
1834,POS
1835,"The honorable next step for this failure...for ""his responsibility"" is to tender his resignation to the American people."
1836,SOS
1837,Lie Lie Lie Lie Lie Lie Lie
1838,Is he going to say anything about the video showing the Taliban flying a BlackHawk with someone hanging by their neck beneath it
1839,Deep fake
1840,"""I was not going to extend this war"". Literally extended it until August 31st with no explanation. Did literally nothing to get civilians out prior."
1841,Lonout do lc
1842,2024 trump trump is better than u Biden 😁
1843,Tally-Bahn
1844,Boo 😒
1845,"Sorry, but Mushbrains did not ""end"" any war.
He gave an arsenal to the enemy which will only extend the bad relationship."
1846,LIES LIES lies
1847,"The puzzled thread identically improve because shoulder greely suspect upon a numerous baseball. educated, complex cone"
1848,America is always solving everyone else issues. Time to spend that money wisely and strengthen this great country.
1849,Eampeach
1850,Dudes been vp for 8 years now he cares we’re spending 160 million a day?
1851,He can barely read the teleprompter. This is starting to get really scary.
1852,Imagine being in the minority of people who liked this video.
1853,Stupid Joey mumbles..
1854,Joke
1855,"Joe was not genuine in any way. I was waiting for him to start checking his watch like he did (so disrespectful) when our brave, young  soldiers were coming off the military plane in their coffins. I am ashamed of him and how he handled this military pull out. I wonder how many Americans were left behind, disgusting."
1856,Hoe Hiden
1857,People be wanting to continue a 20 year desert war and start one here. Y’all are blood thirsty.
1858,"Why this sleepy grandpa is not talking about poor LGBT rights, human fights, women rights?"
1859,Pp
1860,Did he really just blame the troops …. This blood is on your hands sleepy
1861,B
1862,Awful.
1863,"I'm totally amazed that so many self made global strategists and armchair generals exist in youtube comments.

Give it some time and I wouldn't be surprised to see this entire thread show up in r/agedlikemilk"
1864,Garbage
1865,"He has no clue about anything, he stated that dozens of Afghans died in the blast.  How about 13 soldiers and 170 Afghans.  He is completely lost"
1866,THANK YOU ;FOR BRINGING OUR TROOPS HOME .20 YRS IN HELL IS MORE THAN AND LEADERS OF A COUNTRY THAT DONT WANT TO HELP THEMSELVES ;WE DONT NEED TO BE THERE 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🙋
1867,pos ….
1868,FJB
1869,Can't believe he agreed with President Trump
1870,"That was a pathetic speech...Sleepy Joe took full responsibility to what happened  in Afghanistan he did so after he finished blaming everyone else...Sleepy Joe sounded  like Pelosi when she said ""It was my fault for believing the hair salon owner that they she would not tell no one that I came in for haircut """
1871,Walter
1872,"The slim sauce therapeutically fool because clipper additionally water than a innocent bit. amused, beneficial tempo"
1873,"📯CONFLICT  OF  INTEREST📯ALL  LIVES  MATTER📯EUTHANASIA☮️
📯NO COUNTRY OR SYSTEM'S NOR PEOPLE NOR RELIGIOUS IS PERFECT IN THIS WORLD🗺️"
1874,Dislike
1875,It’s like watching two brain cells fighting each other for a reasonable thought process….with no winner.
1876,Potato 🥔 president...  🥔🤡🥔🤡🥔🤡🥔🤡🥔🤡🥔
1877,"Come on…Give this man credit! 


I don’t understand society"
1878,Disgusting and disturbing lies. And dementia.
1879,trash
1880,What a brain dead clown. His cocktail of uppers was unsatisfying and worrisome.
1881,THANK YOU MR PRESIDENT
1882,"Wow, well spoken, Mr. President."
1883,"Is there really anyone out there that is proud of this president? If so, can you explain to me how? What is it that he has done that deserves your pride? What is it that he has accomplished? If you can do so without having to put down someone else (e.g. Trump, GOP, etc.) that would be great!"
1884,We all admire you Mr President 🇺🇸
1885,Should be impeached
1886,Biden 2021🇺🇸🇺🇸
1887,Take your eyes off the prompter and speak from your heart for once.
1888,"BLM

Biden Lost Memory "
1889,"Sad how much bipartisanship is effecting our people. Whether you like the reasoning or not only a fool would say it's not sound. But people are so obsessed with their party's views they don't care. Honestly I've always been a bit of a middle when I look into these topics but I generally vote Democrat. It's okay to disagree, its okay to listen to what the other side says, but, from reading most of these comments, it appears not enough people feel that way."
1890,"20 years of wars, trilion dolars, replacing taliban with taliban

some dude on youtube comment"
1891,Thank god we are out. Thanks Joe.
1892,God bless America
1893,Through networking my son got a job to wash hair at a saloon. He says if thus guy can be President he can dominate the world. I can't really disagree with him.
1894,"Not we owe, you and the administration owe ,the the fallen hero"
1895,Why wasn’t the May 1st commitment honored. He was full of excuses. Also how he went on and on about two decades of this war. Well he was apart of a presidency for 8 of those twenty years. He also didn’t do a very good job reading the teleprompter either. And just trying to convince everyone that he did the best job. What a bunch of bull.
1896,I think at this point everyone should know. To prosper is to take care of oneself. And not to follow one man. But to follow your own heart. Good. bad or indifferent. GOD will handle the rest.
1897,"I wish presidents still had inspiring speeches. He is just explaining why he is right. Also, he did not handle this crisis very well."
1898,This is what ya'll voted for.
1899,He did what he had to do.  War is hell.
1900,I love how the lies are so obvious;(
1901,I miss Trump already
1902,I agree. USA is not the world's cop. We need to look out for ourselves and nurture our allies.
1903,"I surely hope the next 20 Years will see more of our Taxes used HERE at HOME, rather than moving Rocks Around in Afghanistan with Very Expensive bombs and our Soldiers' Blood.  😠."
1904,"I voted Democrat because the Republican party last election was extremely underwhelming.

Now what am I supposed to do? Vote Republican because this election is extremely underwhelming? Where does a citizen win? Why do I have to argue with my fellow citizens about who to vote for when our friends and family are dying overseas for no reason, pretending that our vote would somehow save their lives if anyone else was in office? Who are we kidding, politics as a whole is a joke."
1905,"I was saying "" Ok Biden, keep reading "" but when the SOB got to blaming others.
The man and his handlers have no shame.
Bragging about the air lift was like bragging about the life boats on the Titanic"
1906,He still reads well. What happens when the teleprompter stops?
1907,I didn’t know success means leaving thousands of Americans and some poor civilians on the other side of the planet
1908,Left millions of our tax paying dollars  of military  gear and vehicles  and weapons over there too but its a success 👌 👍
1909,What US achieved in 20 years removing taliban govt by force and than after 20 years again handover govt to taliban.
1910,Walk away joe
1911,Great job!!!!!!!!!!!!!!!!!  Not!!!!!!!!!!!!!!!!!
1912,#Love Freedom...
1913,"Trump made another great ""deal""..."
1914,Well you as a leader of a nation cannot afford to make assumptions. They need to be concrete decision.
1915,Blaming others for your own mess?! The world is laughing at you!
1916,I like how  he talks about money and at the sametime  is demanding to but us in debt for for less. He is leaving even states that voted him in without needs or help. Places like Hawaii  calling for shortages of oxygen. That means machines to make it. No can of it.
1917,yes sir president joe bidin you are the man the russians love loves you and your family china loves you you and your family and nows the taliban loves love you/you are the man come on man thanks
1918,Yes they went through hell and now it was all for nothing since all they fought for was abandoned
1919,"As someone who didn't like Trump and supported Biden, I'm now having a hard time believing this guy and his words. Trump got things done even though his delivery was questionable, but Biden, oh dear. I am loss for words."
1920,It's not Joe's fault.  He has the IQ of a toadstool and the ethical discernment of a hyena.  No offense to hyenas.
1921,Can someone go back there and see if he fallen to the floor 🤣😂
1922,Hahahhahahqhh Biden even speaking English blows my mind.
1923,Evacyation? That's a new word for me just like evacuation is a new word to him lol like Joe said we have to learn from each others mistakes so let me get a pen and paper to keep track of his mistakes I might need two more notebooks for this.
1924,He is doing the dance.
1925,"Put a wig on a cantaloupe 
Tie some strings to it
Make it dance like a demented puppet 
It would make more sense than Biden"
1926,What a wonderful leader.
1927,"Here he is, CGI joe."
1928,He has blood on his hand. We want him out!
1929,"Airlifted 100,000 people? Wow."
1930,"he appears to have got a lot of milage out of his son Beau. Should not use his son, as a prop"
1931,"2:51 I am sorry, did you just say extraordinary success?!?!"
1932,Joe needs to go
1933,"Those people had a year to make their exit, they had to know this was coming?  take responsibility for yourself, as well as relying on the government."
1934,You sir are an embarrassment to this nation!
1935,He's one if the most ingenious president's I've ever heard speak. He's also delusional
1936,Biden should resign.
1937,"Reporters should just stop going to these briefings.
They just get a back turned on them and ignored, 
Questions left in their mouths, unanswered constantly."
1938,Thank god I think for teleprompters...RESIGN BIDEN
1939,lol sorry man if was you being ready I hate to see when you are caught of guard your acting just like trump trying pass the buck and say you did it all right 🤦‍♂️
1940,Does this guy ever take any questions. I guess he's an actor comes in for his lines and then goes back to bed until his next script is ready in a few days.
1941,"The Democrats want absolute power and we are letting that happen each day. Demand his resignation now. Call you're mayors, governors, senators and tell them you want election integrity and you're god given sovereignty returned."
1942,Why is he still in office??
1943,It wouldn't let me say what i really wanna say...
1944,Sorry Trump lost the election. I am so sorry.
1945,He’s the most depressing person to listen to. OMG besides he’s a egotistical snake. What does his son have to do with anything?
1946,"Don't worry guys, the international community (minus China and Russia) has let the taliban know what we expect of them. That'll do it 👍🏼"
1947,Thank god I think for teleprompters...RESIGN BIDEN
1948,Thank god I think for teleprompters...RESIGN BIDEN
1949,"Your Secretary of State wishes he never was appointed by you 
You really made the smart man look like you"
1950,This was a manufactured  crisis . And this guy pats himself on the back.
1951,change playback speed to 1.25 you welcome
1952,"Nice to know what the President of the USA looks like ,instead of a bunch of liars."
1953,#impeach Biden...
1954,Endless war lovers malding.
1955,Now they have our weapons and  gears
1956,"Sleepy Joe struggles at ""reading the telepromter and lying"" but doesn't struggle at ""sniffing kids."""
1957,What about the weapons you left in Afghanistan?
1958,You wanna hear a joke?
1959,"Unfortunately, he just made it worst."
1960,"You voted for this guy because the other one offended you on twitter. 

This is on you."
1961,"Looks at watch Just checking the 13 reasons why you're incompetent, your time is up"
1962,Was this supposed to be a presidential address or what?
1963,If it was successful why blame Trump and walk away all the time to every soft questions.hahahaha.
1964,All this stuff is so called happen through the mouths 🙄 probably just paid to put a clown show!  Mean while I have Snapchat Afghanistan living a normal life 🤣😑 showing the peacefulness over there!
1965,NEVER LEAVE AN AMERICAN BEHIND!!! You have blood on your hands....You dropped the ball on this one again buddy!!!
1966,When Politicians fear the people things will change...the exact reason we have the Constitution....
1967,All he says is lies he cares more for ice cream than the fallen 13
1968,Biden should have been left to stay in Afghanistan instead of the Americans left behind.
1969,poor kitty
1970,"John 8:44

Ye are of your father the devil, and the lusts of your father ye will do. He was a murderer from the beginning, and abode not in the truth, because there is no truth in him. When he speaketh a lie, he speaketh of his own: for he is a liar, and the father of it."
1971,We need Wakanda to stop hiding and help the world fr
1972,Good God.bring trump back .asap. this guy s    lost
1973,Since when someone who has probable metal dementia is responsible for a military departure we have paid professional experts supposedly in this field from the Pentagon down that should have brought this over properly
1974,I wish our president would flee
1975,Terrible to see the administration pretending that they have accomplished something great.🖕🏽
1976,This dude is a walking punchline. Can we hurry up and just get Terry Crews (President Camacho) in office? The outcome couldn't be worse.
1977,"Team sleepy Joe and team orangutan: forget the politics for a second. We never should have been there to begin with. Bringing our boys home is the right decision, even if it was made twenty years too late. If the Afghans are unwilling to defend themselves (especially after all the money and blood spent to equip them to do so), I sure as hell ain't either. Good riddance."
1978,"How many people in the comments, knows nothing has ended but war is only going to intensify and reach beyond the borders of Afghan now?"
1979,You still left people there! This is not a great success!
1980,Why do I feel like I was being scolded by Uncle Joe???
1981,End that vaccine as well
1982,It someone's else fault even my children is someone's else
1983,💔
1984,Should he be wearing a mask?
1985,"Does Biden imagine himself as being such a well spoken ""teleprompter"" reader like President Obama?"
1986,What a shame ! Lousy   Lousy Democrats
1987,"Lol, were you looking for Talibans in the last 20 years. I know where they are. All in the airport."
1988,"se·nile - (of a person) having or showing the weaknesses or diseases of old age, especially a loss of mental faculties.

Someone better call that man’s nurse. Grandpa snuck out of bed and is speaking to the country again…"
1989,No one is listening because you have lost your credibility.
1990,What's the point of having the best military in the world when we have a soft leader like this?
1991,Imagine living in 2021 and still believing that ISIS is real.
1992,You run from the war an give the enemy guns plans tanks an h1s your a joke an are gutless.
1993,Service dog murderer. What an absolute disgrace.
1994,"@13:35 oops, someone's epinephrine/adrenaline shot is wearing off... he's losing his words again..."
1995,"“We will hunt you down”….I think no one believes you.  13 warriors killed and your response is to strike two low level planners. That’s a pretty underwhelming response.
So you say you ran on committing to ending the war in Afghanistan…but it was your predecessors fault?"
1996,I bet you forgot it so stop lying
1997,Is this a joke? Trying to take a victory lap on this complete disaster??
1998,He's a disgrace.
1999,"13 Deaths, Americans and animals left behind and billions of dollars in weapons that we paid for handed to terrorists. Yet him and his team still want to act like this was successful. It truly amazes me"
2000,"Biden’s UNspoken words:  “To wrap things up, these words are as given, from me, because I, Biden, totally botched up the details of the withdrawal. Furthermore, it was the greatest humanitarian airlift of all time because I put the cart before the horse.  I left our allies in the dark too about the real situation on the ground, but hey, they got their people out in time.“"
2001,Please surrender my country
2002,Oh look it’s the fourth stooge
2003,WANTED: working time machine or spaceship.
2004,"22:02 .....how do you say that, and then leave as terrorist take over Afghanistan?"
2005,"""by the time I came to office, the tallybahn was in the strongest military position since 2001"" so I left billions upon billions worth of military equipment for them.- Boe Jiden"
2006,You have left a Huge Mess behind
2007,"I'm watching  president James Dale from  ""Mars Attacks""."
2008,Time for Biden to take a dirt nap
2009,Its funny u r talking abt dignity lol
2010,"Nice show 👍🏻
I'm totally sure if somebody asked him one question, he couldn't answer that question and he runs away as he runs from Afghanistan. 
Happy Days for all terrorist groups around the world and a sad day for peace around the world."
2011,CRT = CLEARLY RACISM TRAINING
2012,Am I the only one seeing a floating head on a suit
2013,im neither republican or democrat but this an American disgrace. I'm disgusted having him this team lead us
2014,"""Those who break the rules are scum, but those who abandon their comrades are lower than scum""."
2015,Great speech by a true competent leader.
2016,"Can airlift 100,000 refugees but can't evac 15,000 of its own civilians"
2017,Where is the U.S. President?  Who is this guy?
2018,Did he get lost lol
2019,What a p.o.s.!
2020,Glad to hear that we are done paying taxes for that impossible to win war. If the afghans actually cared about Democracy that would have put up a real fight.
2021,What a F'n clown
2022,"JUST  PATHETIC !!
Top to bottom."
2023,What an old fart
2024,Best decision Biden has ever made.
2025,"I almost fell for his bullcrap until I remembered that the evac measures were a mess, and 
murrcan weapons are in the hands of the taliban."
2026,All that service for nothing
2027,Let me check my watch..
2028,Why those knot on face look like dot the right of his face
2029,This is a joke!
2030,Complete and total incompetence! Now we will be dealing with these psychos for decades to come! Good job Joe!👎
2031,HEY MR. TALIBAN!
2032,Not one question.  Embarrassing.
2033,Oh we won’t forget. You going to be in history for worst military mistake.
2034,"“I made a decision to end this war” no you didn’t, Trump did, by setting a May 1 date to have all Americans withdrawn from Afghanistan that was peaceful and that the talibans agreed with without resistance, your carelessness and ignorance costed many lives, your laziness caused those Americans to wait hopelessly because you did nothing while they tried to get to the airport, past taliban who would beat them, I can’t believe it hasn’t even been a year with this guy in office, gladly resign please"
2035,"If he reads the teleprompter with no mistakes, he gets an ice cream 🍦"
2036,Corn pop where is all almighty mask 😷 you clown 🤡
2037,"Sleepy Joe 
Do you look at your dislikes on utube ?
Well start looking and retire back to your bunker"
2038,Many are saying the blood is also on this News syndicates hands.
2039,Why don’t you not screw up?
2040,"""I was just at Dover AFB... I was there a little longer than I wanted to be, it was time stopped. But here's the deal....."""
2041,If Joe Biden was the cafeteria director at your local high school and the special of the day was going to be pizza.  He’d say “hey darling for an extra slice”.  Then it would be all students get pizza and the gang members can have everything in the kitchen.  At least that’s what the last cafeteria director said.
2042,Plandamic and scamdamic
2043,"oh, his son again............"
2044,Just a bunch of jiberish on my end.
2045,"""90% of Americans in Afghanistan who WANTED TO LEAVE were able to leave. And for those remaining Americans, there is no deadline. We remain committed to get them out if they want to come out"""
2046,"If anyone wants to go to heaven ask The Lord Jesus Christ to help you stop sinning once and for all and baptize you with the Holy Spirit. We cannot go to heaven without the Lord's help, and we cannot go if we are still sinning. If you ask for His help sincerely to stop sinning, He will answer you."
2047,Go Biden
2048,This is embarrassing.
2049,Train… wreck….
2050,I  DONT KNOW WHAT WITH JOE THAT YOU CANT TAKE HIS WORD SERIOUSLY
2051,What a bigot
2052,"Somewhere, right now, a woman is being beaten to death in Afghanistan."
2053,"Omfg.. if I hear ""Tally Bon"" one more f#÷kin time.."
2054,Clown shoes
2055,"He didn't end the war, what he did is more similar to running away if anything."
2056,"“No nation has ever done anything like it in all history”...he means done something so cowardly, so humiliating, so treasonous as what he’s done. He and his team must be court martialed and hung like common thieves,"
2057,Uzbekcha xohlayman
2058,BLAH. BLAH. BLAH. BLAH.——-RESIGN
2059,Liar!!!!
2060,"How to end a war the Biden way: Give the enemy everything they want and see if they begin to behave themselves. Oh yeah, that will work just fine El Presidente!"
2061,LIAR
2062,RESIGN
2063,RESIGN
2064,"The withdrawal was so botched, 13 troops just died days from coming home. IMO they should have had quick reaction and infantry units stay behind and make sure everyone could get out of dodge before they themselves leave. They could deal with a big refugee crisis but IMO that's gonna be a lot less backlash than just simply leaving allies and freaking Americans behind."
2065,Joe when you assume you make an ass of you and me as someone once said!
2066,Joe doesn't even know where he's at...
2067,“No one left behind” American Freedom is in danger. MAGA Congress 2022.
2068,I'm discussed  by the sight  of biden !  His name literally makes me sick
2069,Que whiney republicans
2070,"What happened to

"" Good evening my fellow Americans"".?"
2071,I prefer our commander in chief to have military experience.
2072,C'mon man!
2073,"9:32 Trump's last gift to his Kremiln boss...
""Trump's decision to pull troops from Afghanistan could put Biden in 'a strategic corner' >>> got Google?"
2074,leeeeeee
2075,“Looking forward to meeting you and falling asleep on you.” - Sleepy joe
2076,Who are the 2+ thousand people that gave this video a thumbs up? I have to assume it was sarcasm.
2077,Library
2078,"You not end it, the fact say that you lose it."
2079,What an ignorant fool. Thanks for acknowledging the lives you lost and the people you left behind. Sad days for real amaricans.
2080,"Imagine chalking up a treaty plan with a group of un educated extremists on not violating human rights or creating violence and then note even a whole 72 hours later, starts capturing Kabul  with weapons provided at the generous donation of the US Army."
2081,Excellent speech and analysis.
2082,great speech
2083,"This speech happened in the Twilight Zone. Mr. Garble Mouth seriously believes, or somebody does, that someone is going to be impressed with the most powerful military in the world's ability to fly people from one place to another meanwhile forgetting the last week of complete disaster. "
2084,Do you have any idea how difficult it would have been to get everyone out at once? Or what would have happened if they saw 100's of airplanes waiting to land and take off? It's so easy to point the finger when you're on the OUTSIDE looking in. He was given bad information and acted on the information he was given. We've spent trillions a year being over there and lost countless lives. He did what he thought was right. You can't evacuate everyone and expect no one to die in the process. It's horrible to have to think that way. But that's how it is. The only person I blame is the guy who kept our troops there for this many years and then is surprised it didn't go 100% smoothly.
2085,I wonder how long he napped before this speech.... and what good drugs that his handlers have him so he has some energy.  And he name dropped Beau again.  Wow.
2086,Lord help us and all the people left in Afghanistan
2087,You have created chaos on the Homeland  !!!!   We Back our troops💕🇺🇸🇺🇸🇺🇸 and we back our Blue 💙
2088,May God bless Afghanistan 🇦🇫 may God be with Afghanistan 🇦🇫 only God has the power God will save Afghanistan 🇦🇫 From it enemy’s Ameen
2089,Lol and right when ppl thought trump was entertaining we somehow outdid him 🤣 this dude's a joke 🤣
2090,"""With Tail Between Legs"" as we pulled out of Bagram, released 10,000 ISIS terrorists and withdrew airpower from our allies."
2091,"80 million votes xD man I hope there was some kind of mistake, this guy is delusional or our standards aren't the same. You have every weapon and cash at your disposable and yet you try to salvage this straight up incompetence...JUST STOP!"
2092,Thank you Joe for bringing home my family!!!! ❤️❤️❤️❤️❤️
2093,Anyone missing Trump yet?
2094,Epic yes epic
2095,"""walk away Joe"""
2096,"When i read the articles written by different journalists, do the lengthy readings with the political situation of the Afghan Govt, finally I found that, Afghan Govt did not listen to what was advised by the US President and its expertise that Afghan govt needs to change the military's strategy and so on, yet it resulted in down fall of the Ghani regime. I think it will be wrong for us to blame President Biden without doing any further analytical studies. No hard feelings, just my opinion. God bless AMERICA and may peace prevail on EARTH."
2097,I wonder who wrote this for him
2098,"Meanwhile, from the Wall Street Journal.

AFGHANISTAN Published 8 hours ago
Afghan Interpreter Who Helped Rescue Biden in 2008 Left Behind After U.S. Exit"
2099,how many blunders can one man make in a speech?
2100,I love Biden math 🤦🏻 And he can never answer a question. The fact he is our president is such an embarrassment
2101,"Man, a lot of you seems to have wanted this war to continue. Sorry, your rich dads aren’t going to keep the money rolling in from the deaths of thousands."
2102,Anyone else on acid just laughing
2103,No nation no nation! Has ever done what I have messed up yup. You can say that again
2104,"YOU voted for this man to be our president, America. Reflect on your actions."
2105,"Seeing his pupils scan back and forth as he goes from line to line, spewing pre-typed garbage is pretty frustrating, to say the least."
2106,Just like Vietnam we should have never been there. Now we reap what we wrought.
2107,"Trump, please save us."
2108,"Yesterday 14,000 Afghans came in Dulles international airport without been vetted and no ID.  Now supposed we have an enemy in the midst."
2109,We're still in Syria and so many other nations. No exit in sight.
